start_station;end_station;start_date;minutes
de la Peltrie / de la Côte-des-Neiges;Villeneuve / St-Urbain;21/08/2022 14:53:14;93
Cartier / Dandurand;de Bordeaux / Masson;29/04/2022 22:36:40;92
Cartier / Marie-Anne;de Mentana / Rachel;10/05/2021 18:14:01;92
Complexe sportif Claude Robillard (Émile-Journault);Francis / Fleury;05/10/2022 16:34:41;92
Everett / 8e avenue;12e avenue / St-Zotique;14/07/2021 01:40:12;92
LaSalle / Crawford;Mairie d'arrondissement LaSalle (Dupras / Jeannette);20/08/2022 14:00:08;92
Métro Pie-IX (Pierre-de-Coubertin / de la Salle) (2);Roy / St-Denis;13/06/2022 11:52:56;92
Parc J.-Arthur-Champagne (de Chambly / du Mont-Royal);Ernest-Gendreau / du Mont-Royal;24/04/2021 16:02:00;92
Wellington / 2e avenue;LaSalle / Godin;10/07/2022 16:05:49;92
Boyer / Everett;Basile-Routhier / Chabanel;01/06/2022 22:23:09;91
Chapleau / du Mont-Royal;Parc du Pélican (1ère avenue / Masson);13/08/2021 18:20:30;91
Chomedey / Lincoln;Lincoln / du Fort;14/10/2021 17:20:33;91
Parc St-Claude (7e avenue / 8e rue);Fleury / Lajeunesse;10/04/2021 14:10:17;91
de St-Vallier / St-Zotique;St-Mathieu / Sherbrooke;27/08/2021 00:38:35;91
Lajeunesse / Villeray;de Castelnau / Lajeunesse;08/10/2021 20:28:30;90
des Érables / Rachel;Parthenais / du Mont-Royal;02/10/2022 13:00:13;90
10e avenue / Holt;St-André / Cherrier;06/07/2022 05:46:57;89
Métro Laurier (Rivard / Laurier);de la Commune / Place Jacques-Cartier;19/05/2021 10:37:03;89
Métro St-Laurent 2 ( de Maisonneuve / St-Laurent);HEC (Decelles / Jean-Brillant);01/10/2022 03:37:20;89
Parc Eusèbe-Ménard (Gouin / St-Vital);Parc des Hirondelles (Fleury / André-Jobin);27/08/2022 19:12:40;89
Ellendale / de la Côte-des-Neiges;Hôpital général juif (de la Côte Ste-Catherine / Légaré);13/07/2021 12:31:20;88
Cégep André-Laurendeau (Lapierre);Gloria / Dollard;19/07/2022 14:58:18;87
Davaar / de la Côte-Ste-Catherine;Swail / Decelles;05/10/2021 01:01:20;87
de Hampton / de Monkland;Grey / Sherbrooke;28/08/2022 11:23:00;87
des Érables / Laurier;Chabot / Laurier;24/08/2021 13:40:14;87
Champdoré / de Lorimier;Papineau / Émile-Journault;06/07/2022 16:01:28;86
Parc Maurice Bélanger (Hebert / Forest);de la Commune / Place Jacques-Cartier;29/05/2022 15:36:00;86
Pratt / Bates;d'Outremont / Ogilvy;26/05/2022 19:19:04;86
2e avenue / Centrale;Drummond / Ste-Catherine;12/10/2022 10:41:39;85
Chapleau / Terrasse Mercure;Calixa-Lavallée / Sherbrooke;07/05/2021 17:15:59;85
Drolet / Jarry;Parc St-Paul (Le Caron / Marc-Sauvalle);23/07/2022 01:34:15;85
Fullum / Holt;Parc Howard (de l'Épée / de Liège);20/06/2021 16:55:46;85
Irene / St-Jacques;Métro Angrignon (Lamont /  des Trinitaires);22/10/2022 15:19:45;85
Métro Pie-IX (Pierre-de-Coubertin / De La Salle);Cégep Marie-Victorin;09/05/2021 18:03:24;85
Parc Delorme (Malouin / Laferté);Parc Wilfrid-Bastien (Lacordaire / des Galets);02/06/2022 08:40:53;85
Pierre-de-Coubertin / Langelier;St-Catherine / St-Laurent;25/09/2022 17:04:29;85
St-Joseph / 34e avenue Lachine;St-Joseph /21e avenue Lachine;02/06/2021 18:42:13;85
de Belleville / Fleury;Papineau / Émile-Journault;27/07/2021 20:13:17;85
29e avenue / St-Zotique;Rosemont / Viau;20/05/2022 22:37:04;84
Monk / Jacques-Hertel;Hamilton / Jolicoeur;09/09/2021 18:41:43;84
Métro Cartier;Lacombe / Victoria;23/08/2021 04:10:08;84
de la Côte St-Antoine / Argyle;Léa-Roback / Sir-Georges-Etienne-Cartier;24/09/2022 12:50:00;84
des Seigneurs / Notre-Dame;Léa-Roback / Sir-Georges-Etienne-Cartier;16/07/2022 19:15:39;84
41e avenue / Victoria;Dixie / 54e avenue;09/07/2022 09:25:13;83
Laurier / Parisi;Métro Longueuil - Université de Sherbrooke;24/08/2021 11:22:18;82
Liébert / Hochelaga;Parc d'Antioche (Place d'Antioche / St-Zotique);27/04/2021 16:42:25;82
Monsabré / Boileau;IUSMM (Georges-Villeneuve);05/10/2022 14:24:17;81
Métro Jolicoeur (de Sève / Drake);Métro de l'Église (Ross / de l'Église);02/07/2022 13:15:16;81
Parc Labelle (LaSalle / Henri-Duhamel);Fullum / Holt;17/07/2021 14:39:17;81
St-André / Robin;Valois / Ste-Catherine;07/10/2021 05:20:49;81
Ball / Querbes;Clark / de Liège;20/07/2021 00:11:17;80
Bélanger / St-Laurent;Calixa-Lavallée / Rachel;10/07/2022 15:35:07;80
Casgrain / Maguire;Bernard / St-Urbain;28/05/2022 22:53:08;80
Péloquin / Fleury;Métro Henri-Bourassa (Henri-Bourassa / Millen);20/07/2022 17:48:57;80
Querbes / Ball;Gary-Carter / St-Laurent;10/10/2021 20:10:10;80
Sanguinet / Sainte-Catherine;Place Émilie-Gamelin (St-Hubert / de Maisonneuve);17/10/2021 10:30:30;80
CIUSSS (du Trianon / Pierre-de-Coubertin);Métro Radisson (Sherbrooke / des Groseilliers);05/10/2021 13:03:32;79
Collège de Rosemont (15e avenue / Beaubien);Gilford / des Érables;08/09/2022 14:17:47;79
Letourneux / Hochelaga;Gilford / de Brébeuf;01/05/2022 18:04:34;79
Parc Charleroi (Alfred / Louis-Francoeur);Métro Cadillac (Cadillac / Sherbrooke);26/10/2022 10:25:05;79
St-Charles / Montarville;St-Charles / St-Sylvestre;20/05/2022 19:26:57;79
Parc Noel-Nord (Toupin / Keller);Parc Painter (Marcotte / Quenneville);14/07/2022 17:48:00;78
St-Mathieu / Baile;St-Joseph / 8e avenue Lachine;15/10/2022 16:32:33;78
des Récollets / Martial;2e avenue / Jean-Rivard;17/09/2022 16:58:18;78
12e avenue / St-Zotique;Molson / William-Tremblay;01/10/2022 15:50:46;77
Bishop / de Maisonneuve;Hillside / Ste-Catherine;19/06/2022 16:44:03;77
Jean Langlois / Fullum;Tolhurst / Fleury;29/05/2022 19:25:38;77
Monk / Biencourt;St-Patrick / Briand;18/09/2022 00:24:01;77
Notre-Dame / Guy;Wellington / Gordon;24/07/2022 14:25:52;77
Parc Georges St-Pierre (Upper Lachine / Oxford);Métro Vendôme (de Marlowe / de Maisonneuve);09/09/2021 20:03:10;77
Bibliothèque d'Ahuntsic (Lajeunesse / Fleury);Gare Bois-de-Boulogne;15/06/2022 14:21:44;76
Chambord / Jean-Talon;Garnier / Everett;29/09/2021 20:12:14;76
De Lanaudière / du Mont-Royal;de Bullion / du Mont-Royal;21/05/2021 07:18:06;76
Regina / de Verdun;Bourget / St-Jacques;12/05/2022 10:58:34;76
St-Maurice / Robert-Bourassa;St-Joseph Lachine / 21e avenue;14/06/2022 17:41:54;76
Sanguinet / Ontario;St-Alexandre / Ste-Catherine;18/06/2021 12:24:23;75
Ste-Catherine / St-Mathieu;Joseph-Manseau / René-Lévesque;25/09/2022 15:12:09;75
Bélanger / des Galeries d'Anjou;41e avenue / Rosemont;28/08/2022 16:41:05;74
Ste-Catherine / Sanguinet;Milton / Clark;05/09/2021 20:11:45;74
de Gaspé / de Liège;Laurier / de Brébeuf;16/09/2022 17:37:48;74
de la Salle / Hochelaga;Marché Maisonneuve;06/05/2021 18:55:04;74
